cislo_programu;nazov_programu;uroven_programu;povinnost_programu_V;povinnost_programu_IV;povinnost_programu_III;povinnost_programu_II;povinnost_programu_I;od;do
71;Program pediatrickej infektológie;5;P;;;;;2030-01-01;
71;Program pediatrickej infektológie;4;N;N;N;N;N;2030-01-01;
71;Program pediatrickej infektológie;3;P;P;P;D;;2030-01-01;
71;Program pediatrickej infektológie;2;P;P;P;D;;2030-01-01;
71;Program pediatrickej infektológie;1;N;N;N;N;N;2030-01-01;
72;Program pediatrickej imunológie a alergológie;5;;;;;;2024-01-01;
72;Program pediatrickej imunológie a alergológie;4;P;D;D;;;2024-01-01;
72;Program pediatrickej imunológie a alergológie;3;P;P;P;D;;2024-01-01;
72;Program pediatrickej imunológie a alergológie;2;P;P;P;P;;2024-01-01;
72;Program pediatrickej imunológie a alergológie;1;N;N;N;N;N;2024-08-01;
73;Program pediatrickej neurológie;5;P;D;;;;2024-01-01;2025-12-31
73;Program pediatrickej neurológie;4;P;P;D;;;2024-01-01;2025-12-31
73;Program pediatrickej neurológie;3;P;P;P;D;;2024-01-01;2025-12-31
73;Program pediatrickej neurológie;2;P;P;P;P;N;2024-01-01;2025-12-31
73;Program pediatrickej neurológie;1;P;P;P;P;D;2024-01-01;2025-12-31
73;Program pediatrickej neurológie;5;P;D;;;;2026-01-01;
73;Program pediatrickej neurológie;4;P;P;D;;;2026-01-01;
73;Program pediatrickej neurológie;3;P;P;P;D;;2026-01-01;
73;Program pediatrickej neurológie;2;P;P;P;P;D;2026-01-01;
73;Program pediatrickej neurológie;1;P;P;P;P;D;2026-01-01;
74;Program pediatrickej psychiatrie;5;;;;;;2024-01-01;2025-12-31
74;Program pediatrickej psychiatrie;4;N;N;N;N;N;2024-08-01;2025-12-31
74;Program pediatrickej psychiatrie;3;P;D;D;N;N;2024-01-01;2025-12-31
74;Program pediatrickej psychiatrie;2;N;N;N;N;N;2024-08-01;2025-12-31
74;Program pediatrickej psychiatrie;1;N;N;N;N;N;2024-08-01;2025-12-31
74;Program pediatrickej psychiatrie;5;;;;;;2026-01-01;
74;Program pediatrickej psychiatrie;4;N;N;N;N;N;2026-01-01;
74;Program pediatrickej psychiatrie;3;P;P;D;D;D;2026-01-01;
74;Program pediatrickej psychiatrie;2;N;N;N;N;N;2026-01-01;
74;Program pediatrickej psychiatrie;1;N;N;N;N;N;2026-01-01;
75;Program pediatrickej spánkovej medicíny;5;;;;;;2024-01-01;2025-12-31
75;Program pediatrickej spánkovej medicíny;4;P;D;D;;;2024-01-01;2025-12-31
75;Program pediatrickej spánkovej medicíny;3;;;;;;2024-01-01;2025-12-31
75;Program pediatrickej spánkovej medicíny;2;;;;;;2024-01-01;2025-12-31
75;Program pediatrickej spánkovej medicíny;1;;;;;;2024-01-01;2025-12-31
75;Program pediatrickej spánkovej medicíny;5;;;;;;2026-01-01;
75;Program pediatrickej spánkovej medicíny;4;P;P;D;;;2026-01-01;
75;Program pediatrickej spánkovej medicíny;3;;;;;;2026-01-01;
75;Program pediatrickej spánkovej medicíny;2;;;;;;2026-01-01;
75;Program pediatrickej spánkovej medicíny;1;;;;;;2026-01-01;
76;Program paliatívnej medicíny pre deti;5;;;;;;2024-01-01;
76;Program paliatívnej medicíny pre deti;4;P;P;D;;;2024-01-01;
76;Program paliatívnej medicíny pre deti;3;N;N;P;D;D;2024-01-01;
76;Program paliatívnej medicíny pre deti;2;N;N;N;N;N;2024-08-01;
76;Program paliatívnej medicíny pre deti;1;N;N;N;N;N;2024-08-01;
77;Program pre rehabilitačnú starostlivosť pre deti;5;;;;;;2024-01-01;2025-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;4;N;N;N;N;N;2024-01-01;2025-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;3;;;;;;2024-01-01;2025-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;2;N;N;N;N;N;2024-01-01;2025-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;1;N;N;N;N;N;2024-01-01;2025-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;5;;;;;;2026-01-01;2026-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;4;D;D;D;D;D;2026-01-01;2026-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;3;;;;;;2026-01-01;2026-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;2;D;D;D;D;D;2026-01-01;2026-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;1;D;D;D;D;D;2026-01-01;2026-12-31
77;Program pre rehabilitačnú starostlivosť pre deti;5;;;;;;2027-01-01;
77;Program pre rehabilitačnú starostlivosť pre deti;4;D;D;D;D;D;2027-01-01;
77;Program pre rehabilitačnú starostlivosť pre deti;3;;;;;;2027-01-01;
77;Program pre rehabilitačnú starostlivosť pre deti;2;P;P;D;D;D;2027-01-01;
77;Program pre rehabilitačnú starostlivosť pre deti;1;D;D;D;D;D;2027-01-01;
98;Analytický dočasný medicínsky program ;5;;;;;;2024-08-01;
98;Analytický dočasný medicínsky program ;4;;;;;;2024-08-01;
98;Analytický dočasný medicínsky program ;3;;;;;;2024-08-01;
98;Analytický dočasný medicínsky program ;2;;;;;;2024-08-01;
98;Analytický dočasný medicínsky program ;1;N;N;N;N;N;2024-08-01;
99;Program pre nezaradené hospitalizačné prípady;5;;;;;;2024-08-01;
99;Program pre nezaradené hospitalizačné prípady;4;;;;;;2024-08-01;
99;Program pre nezaradené hospitalizačné prípady;3;;;;;;2024-08-01;
99;Program pre nezaradené hospitalizačné prípady;2;;;;;;2024-08-01;
99;Program pre nezaradené hospitalizačné prípady;1;N;N;N;N;N;2024-08-01;
